z,locations,text
4.594851017,LBN,Lebanon
5.205998898,LBN,Lebanon
5.031899452,LBN,Lebanon
5.187571526,LBN,Lebanon
4.572566986,LBN,Lebanon
4.983288765,LBN,Lebanon
5.233025551,LBN,Lebanon
5.171971321,LBN,Lebanon
5.27072382,LBN,Lebanon
4.89751482,LSO,Lesotho
3.808204889,LSO,Lesotho
3.701401234,LBR,Liberia
4.221354008,LBR,Liberia
4.196063042,LBR,Liberia
4.571419239,LBR,Liberia
2.701591253,LBR,Liberia
3.354676008,LBR,Liberia
5.754394054,LBY,Libya
5.615404606,LBY,Libya
5.43358326,LBY,Libya
5.954442978,LTU,Lithuania
5.80828476,LTU,Lithuania
5.553925991,LTU,Lithuania
5.466920853,LTU,Lithuania
5.065824986,LTU,Lithuania
5.43243742,LTU,Lithuania
5.771037102,LTU,Lithuania
5.595689297,LTU,Lithuania
6.125723839,LTU,Lithuania
5.711378098,LTU,Lithuania
5.865552425,LTU,Lithuania
6.957920074,LUX,Luxembourg
7.097251892,LUX,Luxembourg
7.101400375,LUX,Luxembourg
6.964097023,LUX,Luxembourg
7.130809307,LUX,Luxembourg
6.89112711,LUX,Luxembourg
6.701571465,LUX,Luxembourg
6.967340946,LUX,Luxembourg
4.493598461,MKD,Macedonia
4.428021908,MKD,Macedonia
4.180202007,MKD,Macedonia
4.898180008,MKD,Macedonia
4.639647484,MKD,Macedonia
5.186190605,MKD,Macedonia
5.203825951,MKD,Macedonia
4.975589752,MKD,Macedonia
5.34574604,MKD,Macedonia
3.979751349,MDG,Madagascar
4.640079021,MDG,Madagascar
4.381415367,MDG,Madagascar
3.550609589,MDG,Madagascar
3.815607071,MDG,Madagascar
3.675626993,MDG,Madagascar
3.592514038,MDG,Madagascar
3.663085938,MDG,Madagascar
3.829868078,MWI,Malawi
4.89103651,MWI,Malawi
5.148239613,MWI,Malawi
3.946062565,MWI,Malawi
4.279269695,MWI,Malawi
4.035084248,MWI,Malawi
4.563080311,MWI,Malawi
3.86763835,MWI,Malawi
3.476492643,MWI,Malawi
6.011716843,MYS,Malaysia
6.238904476,MYS,Malaysia
5.806781769,MYS,Malaysia
5.384701729,MYS,Malaysia
5.580281734,MYS,Malaysia
5.786367416,MYS,Malaysia
5.914283752,MYS,Malaysia
5.770199776,MYS,Malaysia
5.962921619,MYS,Malaysia
6.322121143,MYS,Malaysia
4.014075756,MLI,Mali
4.114664078,MLI,Mali
3.976598501,MLI,Mali
3.762305021,MLI,Mali
4.666832924,MLI,Mali
4.313016891,MLI,Mali
3.676277161,MLI,Mali
3.974714279,MLI,Mali
4.582098484,MLI,Mali
4.016027927,MLI,Mali
6.32763958,MLT,Malta
5.77387476,MLT,Malta
6.154718399,MLT,Malta
5.962872028,MLT,Malta
6.379924774,MLT,Malta
6.45211792,MLT,Malta
6.61339426,MLT,Malta
6.590842247,MLT,Malta
4.149043083,MRT,Mauritania
4.248075008,MRT,Mauritania
4.500431538,MRT,Mauritania
4.772306919,MRT,Mauritania
4.784804344,MRT,Mauritania
4.673203945,MRT,Mauritania
4.199015141,MRT,Mauritania
4.482805252,MRT,Mauritania
3.922664166,MRT,Mauritania
4.472149372,MRT,Mauritania
5.477073193,MUS,Mauritius
5.647779942,MUS,Mauritius
5.610003471,MUS,Mauritius
6.580657959,MEX,Mexico
6.525378227,MEX,Mexico
6.829036236,MEX,Mexico
6.962819099,MEX,Mexico
6.802388668,MEX,Mexico
6.909515381,MEX,Mexico
7.320185184,MEX,Mexico
7.442546368,MEX,Mexico
6.679831028,MEX,Mexico
6.236287117,MEX,Mexico
6.824172974,MEX,Mexico
5.102071285,MDA,Moldova
4.774918079,MDA,Moldova
5.502756119,MDA,Moldova
5.554374218,MDA,Moldova
5.589736462,MDA,Moldova
5.792262554,MDA,Moldova
5.995712757,MDA,Moldova
5.75605917,MDA,Moldova
5.917058468,MDA,Moldova
6.017472267,MDA,Moldova
5.577784061,MDA,Moldova
4.609059334,MNG,Mongolia
4.493010044,MNG,Mongolia
4.585523605,MNG,Mongolia
5.031173706,MNG,Mongolia
4.885150433,MNG,Mongolia
4.912928104,MNG,Mongolia
4.824834824,MNG,Mongolia
4.982719898,MNG,Mongolia
5.056999683,MNG,Mongolia
5.196315289,MNE,Montenegro
4.8010602,MNE,Montenegro
5.455030441,MNE,Montenegro
5.223116875,MNE,Montenegro
5.218724251,MNE,Montenegro
5.074341774,MNE,Montenegro
5.282720566,MNE,Montenegro
5.124921322,MNE,Montenegro
5.304066181,MNE,Montenegro
4.383247375,MAR,Morocco
5.084972858,MAR,Morocco
4.969656467,MAR,Morocco
5.142160416,MAR,Morocco
5.163156986,MAR,Morocco
5.38630724,MAR,Morocco
4.594879627,MOZ,Mozambique
4.832634926,MOZ,Mozambique
4.65358305,MOZ,Mozambique
4.971111774,MOZ,Mozambique
4.549767494,MOZ,Mozambique
4.885587215,NAM,Namibia
4.573991299,NAM,Namibia
4.566594601,NPL,Nepal
4.74828434,NPL,Nepal
4.440526485,NPL,Nepal
4.91686821,NPL,Nepal
4.349675179,NPL,Nepal
3.809444666,NPL,Nepal
4.233244896,NPL,Nepal
4.604576588,NPL,Nepal
4.975014687,NPL,Nepal
4.812436581,NPL,Nepal
5.099539757,NPL,Nepal
7.463979244,NLD,Netherlands
7.451879501,NLD,Netherlands
7.631011963,NLD,Netherlands
7.501875877,NLD,Netherlands
7.563797951,NLD,Netherlands
7.470715523,NLD,Netherlands
7.406550407,NLD,Netherlands
7.32118845,NLD,Netherlands
7.324437141,NLD,Netherlands
7.540877342,NLD,Netherlands
7.305014133,NZL,New Zealand
7.604173183,NZL,New Zealand
7.38117075,NZL,New Zealand
7.223756313,NZL,New Zealand
7.190638065,NZL,New Zealand
7.249629974,NZL,New Zealand
7.280151844,NZL,New Zealand
7.305892468,NZL,New Zealand
7.418120861,NZL,New Zealand
7.225687981,NZL,New Zealand
4.460158348,NIC,Nicaragua
4.944090843,NIC,Nicaragua
5.103827477,NIC,Nicaragua
5.352804661,NIC,Nicaragua
5.68669939,NIC,Nicaragua
5.385705471,NIC,Nicaragua
5.448006153,NIC,Nicaragua
5.772274971,NIC,Nicaragua
6.275266647,NIC,Nicaragua
5.924112797,NIC,Nicaragua
6.012739658,NIC,Nicaragua
3.736951828,NER,Niger
4.277402401,NER,Niger
4.235657215,NER,Niger
4.267169952,NER,Niger
4.101016045,NER,Niger
4.555829525,NER,Niger
3.798088312,NER,Niger
3.716329813,NER,Niger
4.180943489,NER,Niger
3.671453714,NER,Niger
4.234645844,NER,Niger
4.709745884,NGA,Nigeria
4.890419483,NGA,Nigeria
4.938560486,NGA,Nigeria
4.980220318,NGA,Nigeria
4.760275841,NGA,Nigeria
5.492954254,NGA,Nigeria
4.81786871,NGA,Nigeria
4.932914734,NGA,Nigeria
5.219567776,NGA,Nigeria
7.415682316,NOR,Norway
7.632287502,NOR,Norway
7.678277016,NOR,Norway
7.444470882,NOR,Norway
7.603433609,NOR,Norway
7.596331596,NOR,Norway
6.852982044,OMN,Oman
5.224657536,PAK,Pakistan
5.671460629,PAK,Pakistan
4.413918972,PAK,Pakistan
5.208146572,PAK,Pakistan
5.786132813,PAK,Pakistan
5.267186165,PAK,Pakistan
5.131565094,PAK,Pakistan
5.138082504,PAK,Pakistan
5.435657978,PAK,Pakistan
4.823194981,PAK,Pakistan
5.548508167,PAK,Pakistan
6.127988338,PAN,Panama
6.894139767,PAN,Panama
6.930903435,PAN,Panama
7.033740044,PAN,Panama
7.3214674,PAN,Panama
7.24808073,PAN,Panama
6.859835625,PAN,Panama
6.86648035,PAN,Panama
6.631171227,PAN,Panama
6.605550289,PAN,Panama
6.117638111,PAN,Panama
4.730082035,PRY,Paraguay
5.272461414,PRY,Paraguay
5.570061684,PRY,Paraguay
5.576147079,PRY,Paraguay
5.841174126,PRY,Paraguay
5.677080631,PRY,Paraguay
5.820058346,PRY,Paraguay
5.936240673,PRY,Paraguay
5.118641853,PRY,Paraguay
5.559724331,PRY,Paraguay
5.801380157,PRY,Paraguay
4.810845375,PER,Peru
5.213962078,PER,Peru
5.129230976,PER,Peru
5.518846989,PER,Peru
5.612785339,PER,Peru
5.892457485,PER,Peru
5.824557304,PER,Peru
5.782557487,PER,Peru
5.86581564,PER,Peru
5.577263355,PER,Peru
5.700628757,PER,Peru
4.669945717,PHL,Philippines
5.073562145,PHL,Philippines
4.589065075,PHL,Philippines
4.879910946,PHL,Philippines
4.941514015,PHL,Philippines
4.993956566,PHL,Philippines
5.001965046,PHL,Philippines
4.976925373,PHL,Philippines
5.312550068,PHL,Philippines
5.547489166,PHL,Philippines
5.430832863,PHL,Philippines
5.587209225,POL,Poland
5.886137486,POL,Poland
5.772027493,POL,Poland
5.887029648,POL,Poland
5.646204948,POL,Poland
5.87593174,POL,Poland
5.746131897,POL,Poland
5.750282288,POL,Poland
6.007021904,POL,Poland
6.162076473,POL,Poland
5.405246258,PRT,Portugal
5.716966629,PRT,Portugal
5.094525814,PRT,Portugal
5.219997883,PRT,Portugal
4.993962288,PRT,Portugal
5.157688141,PRT,Portugal
5.12691164,PRT,Portugal
5.080866337,PRT,Portugal
5.446637154,PRT,Portugal
6.417824268,QAT,Qatar
6.849652767,QAT,Qatar
6.591604233,QAT,Qatar
6.611298561,QAT,Qatar
6.374529362,QAT,Qatar
5.048648357,ROU,Romania
5.393723965,ROU,Romania
5.367565155,ROU,Romania
4.909165859,ROU,Romania
5.02275753,ROU,Romania
5.166874886,ROU,Romania
5.081584454,ROU,Romania
5.726893425,ROU,Romania
5.777491093,ROU,Romania
5.96887064,ROU,Romania
4.963742733,RUS,Russia
5.222867489,RUS,Russia
5.61875391,RUS,Russia
5.158227921,RUS,Russia
5.384773254,RUS,Russia
5.388766289,RUS,Russia
5.620735645,RUS,Russia
5.537177563,RUS,Russia
6.036976814,RUS,Russia
5.995538712,RUS,Russia
5.85494566,RUS,Russia
4.21470356,RWA,Rwanda
4.362988949,RWA,Rwanda
4.029761791,RWA,Rwanda
4.097435951,RWA,Rwanda
3.333047867,RWA,Rwanda
3.466387749,RWA,Rwanda
3.595678329,RWA,Rwanda
3.483108997,RWA,Rwanda
3.332989931,RWA,Rwanda
7.079644203,SAU,Saudi Arabia
7.266694069,SAU,Saudi Arabia
6.811370373,SAU,Saudi Arabia
6.14759016,SAU,Saudi Arabia
6.307098389,SAU,Saudi Arabia
6.699789524,SAU,Saudi Arabia
6.396359444,SAU,Saudi Arabia
6.495132923,SAU,Saudi Arabia
6.27837801,SAU,Saudi Arabia
6.345491886,SAU,Saudi Arabia
6.473921299,SAU,Saudi Arabia
4.417352676,SEN,Senegal
4.679986954,SEN,Senegal
4.683499813,SEN,Senegal
4.335114002,SEN,Senegal
4.372156143,SEN,Senegal
3.834201574,SEN,Senegal
3.668736935,SEN,Senegal
3.647367001,SEN,Senegal
4.394777298,SEN,Senegal
4.61700058,SEN,Senegal
4.59453392,SEN,Senegal
4.750383854,SRB,Serbia
4.380311966,SRB,Serbia
4.461304188,SRB,Serbia
4.815186501,SRB,Serbia
5.154521942,SRB,Serbia
5.101840496,SRB,Serbia
5.112728596,SRB,Serbia
5.317685127,SRB,Serbia
5.752754688,SRB,Serbia
3.628185034,SLE,Sierra Leone
3.585127354,SLE,Sierra Leone
2.997251034,SLE,Sierra Leone
4.133955956,SLE,Sierra Leone
4.501643658,SLE,Sierra Leone
4.514291286,SLE,Sierra Leone
4.499970436,SLE,Sierra Leone
4.908617973,SLE,Sierra Leone
4.732953072,SLE,Sierra Leone
6.462702751,SGP,Singapore
6.833754539,SGP,Singapore
6.641956806,SGP,Singapore
6.144676685,SGP,Singapore
6.531401634,SGP,Singapore
6.561041832,SGP,Singapore
6.53320694,SGP,Singapore
7.062364578,SGP,Singapore
6.619524956,SGP,Singapore
6.033480644,SGP,Singapore
5.264676571,SVK,Slovakia
6.052223206,SVK,Slovakia
5.945048332,SVK,Slovakia
5.91105938,SVK,Slovakia
5.936527252,SVK,Slovakia
6.1388731,SVK,Slovakia
6.162004471,SVK,Slovakia
5.993163109,SVK,Slovakia
5.811264515,SVN,Slovenia
5.830160618,SVN,Slovenia
6.082555294,SVN,Slovenia
6.035964012,SVN,Slovenia
6.062891006,SVN,Slovenia
5.974888802,SVN,Slovenia
5.678395271,SVN,Slovenia
5.740642071,SVN,Slovenia
5.936821461,SVN,Slovenia
5.528272629,SOM,Somalia
5.353644848,SOM,Somalia
4.667941093,SOM,Somalia
5.083986759,ZAF,South Africa
5.204454422,ZAF,South Africa
5.346306801,ZAF,South Africa
5.218430996,ZAF,South Africa
4.652428627,ZAF,South Africa
4.930511475,ZAF,South Africa
5.133887768,ZAF,South Africa
3.660727263,ZAF,South Africa
4.828456402,ZAF,South Africa
4.887325764,ZAF,South Africa
4.769739628,ZAF,South Africa
3.831992388,SSD,South Sudan
4.070771217,SSD,South Sudan
2.888112307,SSD,South Sudan
7.152785778,ESP,Spain
6.994614601,ESP,Spain
7.294472694,ESP,Spain
6.198601246,ESP,Spain
6.188262463,ESP,Spain
6.518249035,ESP,Spain
6.290690422,ESP,Spain
6.150027275,ESP,Spain
6.456477642,ESP,Spain
6.380663395,ESP,Spain
6.318612099,ESP,Spain
4.344610691,LKA,Sri Lanka
4.414805412,LKA,Sri Lanka
4.430846214,LKA,Sri Lanka
4.212026596,LKA,Sri Lanka
3.976905108,LKA,Sri Lanka
4.180569172,LKA,Sri Lanka
4.224593163,LKA,Sri Lanka
4.364694119,LKA,Sri Lanka
4.267932892,LKA,Sri Lanka
4.611606598,LKA,Sri Lanka
4.454917431,SDN,Sudan
4.435159683,SDN,Sudan
4.314456463,SDN,Sudan
4.550499439,SDN,Sudan
4.138672829,SDN,Sudan
6.269286633,SUR,Suriname
4.867091179,SWZ,Swaziland
7.376315594,SWE,Sweden
7.241362572,SWE,Sweden
7.51599741,SWE,Sweden
7.265977383,SWE,Sweden
7.496018887,SWE,Sweden
7.382232189,SWE,Sweden
7.560147762,SWE,Sweden
7.434010506,SWE,Sweden
7.239147663,SWE,Sweden
7.28892231,SWE,Sweden
7.368744373,SWE,Sweden
7.473252773,CHE,Switzerland
7.524520874,CHE,Switzerland
7.776208878,CHE,Switzerland
7.492803574,CHE,Switzerland
7.572136879,CHE,Switzerland
7.458519936,CHE,Switzerland
5.32333231,SYR,Syria
4.978970528,SYR,Syria
4.464707851,SYR,Syria
4.037889481,SYR,Syria
3.164491177,SYR,Syria
2.687552929,SYR,Syria
3.46191287,SYR,Syria
4.613099098,TJK,Tajikistan
4.431608677,TJK,Tajikistan
5.063986778,TJK,Tajikistan
4.575174809,TJK,Tajikistan
4.380636215,TJK,Tajikistan
4.262671471,TJK,Tajikistan
4.496571541,TJK,Tajikistan
4.966521263,TJK,Tajikistan
4.896157742,TJK,Tajikistan
5.124210835,TJK,Tajikistan
5.103721142,TJK,Tajikistan
3.922484159,TZA,Tanzania
4.317949772,TZA,Tanzania
4.384741783,TZA,Tanzania
3.407507896,TZA,Tanzania
3.229129076,TZA,Tanzania
4.073562145,TZA,Tanzania
4.006897449,TZA,Tanzania
3.852394819,TZA,Tanzania
3.483278513,TZA,Tanzania
3.660597324,TZA,Tanzania
2.90273428,TZA,Tanzania
5.88543272,THA,Thailand
5.783891201,THA,Thailand
5.636471272,THA,Thailand
5.475645065,THA,Thailand
6.216702938,THA,Thailand
6.663609028,THA,Thailand
6.300235271,THA,Thailand
6.231024742,THA,Thailand
6.985463619,THA,Thailand
6.201762676,THA,Thailand
6.07363987,THA,Thailand
3.202429295,TGO,Togo
2.807855129,TGO,Togo
2.936220884,TGO,Togo
2.83895874,TGO,Togo
3.768301964,TGO,Togo
3.878578424,TGO,Togo
5.832188606,TTO,Trinidad and Tobago
6.696444035,TTO,Trinidad and Tobago
6.518745899,TTO,Trinidad and Tobago
6.167706966,TTO,Trinidad and Tobago
5.025470257,TUN,Tunisia
5.130520821,TUN,Tunisia
4.87648201,TUN,Tunisia
4.463531017,TUN,Tunisia
5.245604992,TUN,Tunisia
4.763594627,TUN,Tunisia
5.131611824,TUN,Tunisia
4.521453381,TUN,Tunisia
4.718733788,TUR,Turkey
5.623471737,TUR,Turkey
5.118231773,TUR,Turkey
5.212841511,TUR,Turkey
5.490347385,TUR,Turkey
5.271944046,TUR,Turkey
5.309076309,TUR,Turkey
4.888177395,TUR,Turkey
5.579794407,TUR,Turkey
5.514465332,TUR,Turkey
5.326221943,TUR,Turkey
6.567713261,TKM,Turkmenistan
5.791754723,TKM,Turkmenistan
5.463827133,TKM,Turkmenistan
5.391762733,TKM,Turkmenistan
5.787379265,TKM,Turkmenistan
5.791460037,TKM,Turkmenistan
5.887051582,TKM,Turkmenistan
3.733583927,UGA,Uganda
4.45583868,UGA,Uganda
4.568619251,UGA,Uganda
4.611985683,UGA,Uganda
4.192882061,UGA,Uganda
4.826001167,UGA,Uganda
4.309237957,UGA,Uganda
3.709578753,UGA,Uganda
3.769919157,UGA,Uganda
4.237686634,UGA,Uganda
4.233261108,UGA,Uganda
4.803954124,UKR,Ukraine
5.25218153,UKR,Ukraine
5.172380447,UKR,Ukraine
5.1656394,UKR,Ukraine
5.057561398,UKR,Ukraine
5.083132744,UKR,Ukraine
5.030342102,UKR,Ukraine
4.710802555,UKR,Ukraine
4.297329903,UKR,Ukraine
3.964542866,UKR,Ukraine
4.028690338,UKR,Ukraine
6.734221935,ARE,United Arab Emirates
6.866062641,ARE,United Arab Emirates
7.097455502,ARE,United Arab Emirates
7.118701458,ARE,United Arab Emirates
7.217766762,ARE,United Arab Emirates
6.620951176,ARE,United Arab Emirates
6.539854527,ARE,United Arab Emirates
6.568397522,ARE,United Arab Emirates
6.83095026,ARE,United Arab Emirates
6.983556747,GBR,United Kingdom
6.801930904,GBR,United Kingdom
6.986463547,GBR,United Kingdom
6.90654707,GBR,United Kingdom
7.029364109,GBR,United Kingdom
6.869248867,GBR,United Kingdom
6.880784035,GBR,United Kingdom
6.918055058,GBR,United Kingdom
6.758147717,GBR,United Kingdom
6.515445232,GBR,United Kingdom
6.8242836,GBR,United Kingdom
7.18179369,USA,United States
7.512687683,USA,United States
7.280385971,USA,United States
7.158032417,USA,United States
7.16361618,USA,United States
7.115138531,USA,United States
7.026226997,USA,United States
7.249285221,USA,United States
7.151114464,USA,United States
6.863946915,USA,United States
6.803599834,USA,United States
5.785868168,URY,Uruguay
5.693945885,URY,Uruguay
5.663869858,URY,Uruguay
6.296222687,URY,Uruguay
6.062010765,URY,Uruguay
6.554047108,URY,Uruguay
6.449728489,URY,Uruguay
6.444464684,URY,Uruguay
6.561443806,URY,Uruguay
6.628080368,URY,Uruguay
6.171485424,URY,Uruguay
5.232322216,UZB,Uzbekistan
5.311368465,UZB,Uzbekistan
5.26072073,UZB,Uzbekistan
5.095342159,UZB,Uzbekistan
5.738744259,UZB,Uzbekistan
6.019331932,UZB,Uzbekistan
5.939986229,UZB,Uzbekistan
6.049212456,UZB,Uzbekistan
5.972364426,UZB,Uzbekistan
5.892539024,UZB,Uzbekistan
7.169620991,VEN,Venezuela
6.525146008,VEN,Venezuela
6.257771492,VEN,Venezuela
7.188803196,VEN,Venezuela
7.47845459,VEN,Venezuela
6.579789162,VEN,Venezuela
7.066577435,VEN,Venezuela
6.552796364,VEN,Venezuela
6.136096478,VEN,Venezuela
5.568800449,VEN,Venezuela
4.041114807,VEN,Venezuela
5.293659687,VNM,Vietnam
5.421687603,VNM,Vietnam
5.480425358,VNM,Vietnam
5.304264545,VNM,Vietnam
5.295780659,VNM,Vietnam
5.767344475,VNM,Vietnam
5.53456974,VNM,Vietnam
5.022698879,VNM,Vietnam
5.084923267,VNM,Vietnam
5.076315403,VNM,Vietnam
5.062267303,VNM,Vietnam
4.477132797,YEM,Yemen
4.809258938,YEM,Yemen
4.35031271,YEM,Yemen
3.746255636,YEM,Yemen
4.060600758,YEM,Yemen
4.217678547,YEM,Yemen
3.967957973,YEM,Yemen
2.982673883,YEM,Yemen
3.825630903,YEM,Yemen
4.824454784,ZMB,Zambia
3.998293161,ZMB,Zambia
4.730263233,ZMB,Zambia
5.260360718,ZMB,Zambia
4.99911356,ZMB,Zambia
5.013374805,ZMB,Zambia
5.243995667,ZMB,Zambia
4.345837116,ZMB,Zambia
4.843164444,ZMB,Zambia
4.347543716,ZMB,Zambia
3.826268435,ZWE,Zimbabwe
3.280246735,ZWE,Zimbabwe
3.174263716,ZWE,Zimbabwe
4.055914402,ZWE,Zimbabwe
4.681569576,ZWE,Zimbabwe
4.845641613,ZWE,Zimbabwe
4.955100536,ZWE,Zimbabwe
4.690187931,ZWE,Zimbabwe
4.184450626,ZWE,Zimbabwe
3.70319128,ZWE,Zimbabwe
3.7354002,ZWE,Zimbabwe